dataset,nodes,edges,source,target,tau,tau_mode,baseline_cost,baseline_prob,baseline_nodes_explored,baseline_edges_examined,baseline_edges_relaxed,baseline_ms,pruned_cost,pruned_prob,pruned_nodes_explored,pruned_edges_examined,pruned_edges_relaxed,pruned_ms,path_found,speedup,optimality_gap_pct
RetailRocket-event,3,9,addtocart,view,0.395638415219,adaptive,0.57058,0.5651977360,2,3,3,0.004,0.57058,0.5651977360,2,3,1,0.003,True,1.5,0.0
RetailRocket-event,3,9,addtocart,view,0.508677962424,adaptive,0.57058,0.5651977360,2,3,3,0.004,0.57058,0.5651977360,2,3,1,0.003,True,1.5,0.0
RetailRocket-event,3,9,addtocart,view,0.536937849225,adaptive,0.57058,0.5651977360,2,3,3,0.004,0.57058,0.5651977360,2,3,1,0.003,True,1.44,0.0
RetailRocket-event,3,9,addtocart,view,0.559545758666,adaptive,0.57058,0.5651977360,2,3,3,0.004,0.57058,0.5651977360,2,3,1,0.003,True,1.5,0.0
RetailRocket-event,3,9,addtocart,view,0.565197736026,adaptive,0.57058,0.5651977360,2,3,3,0.004,0.57058,0.5651977360,2,3,1,0.002,True,1.56,0.0
RetailRocket-event,3,9,addtocart,view,0.621717509629,adaptive,0.57058,0.5651977360,2,3,3,0.004,,,1,3,0,0.002,False,1.86,
RetailRocket-event,3,9,addtocart,transaction,0.0001,fixed,1.487863,0.2258548670,3,6,6,0.005,1.487863,0.2258548670,3,6,6,0.005,True,1.11,0.0
RetailRocket-event,3,9,addtocart,transaction,0.001,fixed,1.487863,0.2258548670,3,6,6,0.005,1.487863,0.2258548670,3,6,6,0.004,True,1.13,0.0
RetailRocket-event,3,9,addtocart,transaction,0.01,fixed,1.487863,0.2258548670,3,6,6,0.005,1.487863,0.2258548670,3,6,5,0.004,True,1.19,0.0
RetailRocket-event,3,9,addtocart,transaction,0.1,fixed,1.487863,0.2258548670,3,6,6,0.005,1.487863,0.2258548670,3,6,4,0.004,True,1.24,0.0
RetailRocket-event,3,9,addtocart,transaction,0.5,fixed,1.487863,0.2258548670,3,6,6,0.005,,,2,6,2,0.004,False,1.42,
RetailRocket-event,3,9,addtocart,transaction,0.0225854867,adaptive,1.487863,0.2258548670,3,6,6,0.005,1.487863,0.2258548670,3,6,5,0.004,True,1.16,0.0
RetailRocket-event,3,9,addtocart,transaction,0.0677564601,adaptive,1.487863,0.2258548670,3,6,6,0.005,1.487863,0.2258548670,3,6,4,0.004,True,1.24,0.0
RetailRocket-event,3,9,addtocart,transaction,0.1129274335,adaptive,1.487863,0.2258548670,3,6,6,0.005,1.487863,0.2258548670,3,6,4,0.004,True,1.21,0.0
RetailRocket-event,3,9,addtocart,transaction,0.1580984069,adaptive,1.487863,0.2258548670,3,6,6,0.005,1.487863,0.2258548670,3,6,4,0.004,True,1.21,0.0
